rendszam;ido_masodperc;osszeg;fizetesimod
ZED-232;5076;16747;Kártya
ABC-338;4850;4317;utalás
ABC-211;3629;27509;Készpénz
ABC-211;1400;20308;Készpénz
ABC-939;1185;21683;Kártya
ZED-232;1742;7877;utalás
ABC-338;1890;24349;Kártya
ILO-890;4931;18691;Csekk
WAX-803;3767;30795;Készpénz
ZED-529;3684;11788;Kártya
KJK-786;1073;11238;Készpénz
ABC-338;517;19704;Kártya
KJK-786;3449;27670;Csekk
ZED-529;3056;8037;Csekk
WAX-803;1186;24891;Készpénz
NMT-619;5184;30611;Csekk
WAX-803;3925;30417;utalás
ZED-529;2949;21554;Készpénz
ABC-338;443;30826;Kártya
KJK-786;4600;16682;Kártya
ILO-238;4759;28718;utalás
KJK-854;3328;7094;Csekk
KJK-854;2520;20842;Készpénz
PUG-140;2310;17471;Készpénz
PUG-140;756;4230;utalás
WAX-803;2505;28724;utalás
ABC-338;4363;27991;Kártya
KJK-854;955;28172;Csekk
ZED-529;3239;30873;Kártya
KJK-854;1203;27567;Készpénz
KJK-786;2783;13378;Csekk
ABC-338;4362;13698;Kártya
ZED-529;2573;11528;Készpénz
KJK-786;3154;28398;Kártya
ZED-232;685;23364;Készpénz
ZED-232;4859;12620;utalás
KJK-854;4203;6847;Készpénz
PUG-160;3262;3823;Kártya
PUG-160;4243;12346;Csekk
ZED-232;3393;16263;Készpénz
ILO-890;2471;31558;Csekk
ILO-238;1375;19976;Csekk
ZED-529;2665;21862;Készpénz
ILO-238;2262;27273;utalás
NMT-619;2657;20761;Kártya
ABC-649;2212;4756;utalás
KJK-786;3377;10487;Készpénz
WAX-803;463;12611;Készpénz
ILO-238;3788;4234;Kártya
ABC-939;2814;28018;Csekk
PUG-160;597;7572;utalás
WAX-445;2756;26572;utalás
WAX-803;450;6911;Csekk
ABC-211;1349;14274;Csekk
NMT-619;1745;17757;Csekk
ZED-232;967;10516;Csekk
ILO-238;2287;2023;utalás
WAX-445;4058;2479;Kártya
ILO-890;2031;1964;Csekk
ZED-232;1662;31542;Készpénz
ABC-649;4218;17474;Készpénz
ILO-890;182;26728;utalás
ABC-939;937;17015;Csekk
ABC-211;3760;23813;utalás
NMT-619;319;29908;utalás
ABC-338;4150;29182;Csekk
PUG-140;3228;11860;Csekk
NMT-619;1418;7031;utalás
ZED-232;3495;20321;Készpénz
ABC-649;3628;28051;Kártya
WAX-803;577;21501;Kártya
ABC-939;3356;24211;utalás
WAX-803;3131;19051;utalás
ILO-890;3197;19044;utalás
PUG-160;2090;29271;Készpénz
KJK-854;1443;30378;Készpénz
KJK-854;2812;22021;Készpénz
ILO-890;899;13517;Kártya
ZED-232;4805;8747;Kártya
ABC-211;379;11227;Kártya
ZED-232;1316;15072;utalás
ABC-211;1974;9146;Kártya
ABC-939;4581;4708;Készpénz
ABC-211;854;26261;Készpénz
ABC-338;2270;10447;Kártya
PUG-160;2534;6723;utalás
ILO-890;2476;23068;Készpénz
KJK-786;3809;3299;utalás
PUG-140;1612;11482;Kártya
ABC-649;1423;4064;Kártya
NMT-619;910;10128;Csekk
KJK-786;2737;15034;utalás
KJK-854;266;18601;Készpénz
ABC-338;5057;27706;Kártya
KJK-786;1816;31272;Készpénz
KJK-854;3614;23554;Készpénz
WAX-445;3069;4302;Csekk
KJK-854;2829;14581;Csekk
WAX-445;573;25356;Kártya
ABC-939;5373;12503;Kártya
